10.1016/j.dib.2020.105884,S0014299920302661
10.1016/j.dib.2016.01.063,S0140988315003588
10.1016/j.dib.2020.106355,S0956053X20304839
10.1016/j.dib.2016.11.077,S0006291X16319465
10.1016/j.dib.2020.106433,S0045790616300611
10.1016/j.dib.2017.08.018,S0167527317322301
10.1016/j.dib.2021.107345,S0034425721002741
10.1016/j.dib.2016.11.063,S0304416516303890
10.1016/j.dib.2021.107351,S0921344921003323
10.1016/j.dib.2020.105890,S1161030115300174
10.1016/j.dib.2019.103817,S1874391918304457
10.1016/j.dib.2020.105648,S0956566320301846
10.1016/j.dib.2020.106369,S0169204620306137
10.1016/j.dib.2015.06.005,S1874391915300427
10.1016/j.dib.2017.05.013,S2405580816303429
10.1016/j.dib.2018.03.037,S1874391917303226
10.1016/j.dib.2018.08.092,S0167739X17304612
10.1016/j.dib.2021.107379,S1387380621001482
10.1016/j.dib.2018.08.086,S0022311517316021
10.1016/j.dib.2017.08.030,S1359645417306171
10.1016/j.dib.2018.03.023,S1567724917301368
10.1016/j.dib.2020.105674,S0022347620305229
10.1016/j.dib.2021.107184,S0308521X21000822
10.1016/j.dib.2016.06.023,S0963996916301661
10.1016/j.dib.2019.104413,S0141813019345519
10.1016/j.dib.2019.104375,S0964830519303038
10.1016/j.dib.2019.104361,S0928493118332594
10.1016/j.dib.2016.06.037,S1874391916302391
10.1016/j.dib.2018.09.068,S0142961218306446
10.1016/j.dib.2021.107190,S138589472101514X
10.1016/j.dib.2018.11.132,S0143720817312524
10.1016/j.dib.2018.04.077,S0167527317366585
10.1016/j.dib.2015.11.051,S0898656815002739
10.1016/j.dib.2018.04.063,S0003267018301764
10.1016/j.dib.2015.11.045,S0378111915011506
10.1016/j.dib.2019.105043,S0265931X1830715X
10.1016/j.dib.2017.02.047,S0378111915012147
10.1016/j.dib.2021.107147,S2352914821000587
10.1016/j.dib.2017.09.009,S105381001630397X
10.1016/j.dib.2018.04.088,S1616504717302495
10.1016/j.dib.2020.106143,S2352340920303619
10.1016/j.dib.2017.09.035,S0753332216315657
10.1016/j.dib.2017.04.002,S0198971516302733
10.1016/j.dib.2018.12.032,S0891584918313339
10.1016/j.dib.2021.107609,S0969996121002138
10.1016/j.dib.2017.04.016,S0378778817304851
10.1016/j.dib.2019.105080,S1617138119300445
10.1016/j.dib.2018.02.032,S0021915017313874
10.1016/j.dib.2020.105310,S0360319919338315
10.1016/j.dib.2020.106619,S0956053X20302968
10.1016/j.dib.2018.09.097,S0003269718300101
10.1016/j.dib.2017.04.017,S0308814617303138
10.1016/j.dib.2018.12.027,S0301479718314117
10.1016/j.dib.2018.09.096,S0001457517304578
10.1016/j.dib.2017.09.020,S1874391917300040
10.1016/j.dib.2020.105311,S0144861719312767
10.1016/j.dib.2020.105305,S2352407319300162
10.1016/j.dib.2018.09.082,S0167610518301776
10.1016/j.dib.2017.09.034,S0921509317310304
10.1016/j.dib.2018.12.033,S0045653518319908
10.1016/j.dib.2015.07.015,S030439401500470X
10.1016/j.dib.2017.04.003,S0167701217300465
10.1016/j.dib.2021.107634,S0142961221005482
10.1016/j.dib.2020.106624,S0968016020303756
10.1016/j.dib.2021.107152,S2212828X21000190
10.1016/j.dib.2017.09.008,S0304394017301180
10.1016/j.dib.2020.106630,S0143720820315679
10.1016/j.dib.2017.12.052,S0378112717311398
10.1016/j.dib.2015.11.044,S0022283615005367
10.1016/j.dib.2018.04.062,S0021979718301437
10.1016/j.dib.2017.02.046,S0891584917300291
10.1016/j.dib.2018.09.055,S0269749118308959
10.1016/j.dib.2018.09.041,S1873506118300448
10.1016/j.dib.2017.02.052,S0264275116309490
10.1016/j.dib.2015.11.050,S0925443915003208
10.1016/j.dib.2018.04.076,S0145213418300851
10.1016/j.dib.2018.09.069,S096808961831383X
10.1016/j.dib.2016.06.036,S0308814616307816
10.1016/j.dib.2019.104412,S0277379119301702
10.1016/j.dib.2021.107185,S0148296321002460
10.1016/j.dib.2014.08.003,S1874391914003923
10.1016/j.dib.2019.104374,S1751616118315583
10.1016/j.dib.2018.03.022,S0021915018300108
10.1016/j.dib.2019.104823,S1053810019300893
10.1016/j.dib.2018.08.087,S1386142518306383
10.1016/j.dib.2020.105675,S0032386120303359
10.1016/j.dib.2017.05.006,S0014299917302017
10.1016/j.dib.2018.08.093,S0006291X18311628
10.1016/j.dib.2020.105107,S136791201930433X
10.1016/j.dib.2016.11.062,S0006291X16314784
10.1016/j.dib.2019.103816,S0032591018308581
10.1016/j.dib.2020.105891,S0013468620308392
10.1016/j.dib.2021.106728,S0040195120303929
10.1016/j.dib.2020.106340,S0167880912001375
10.1016/j.dib.2020.106354,S016773222033909X
10.1016/j.dib.2016.01.062,S0009898115301017
10.1016/j.dib.2019.103802,S0308521X18308187
10.1016/j.dib.2018.05.098,S0303720718301047
10.1016/j.dib.2017.08.019,S036054421731191X
10.1016/j.dib.2020.106432,S0886779820305484
10.1016/j.dib.2019.104638,S0048969719341786
10.1016/j.dib.2018.10.122,S094450131830541X
10.1016/j.dib.2018.05.067,S0956053X18301776
10.1016/j.dib.2015.10.041,S1874391915300646
10.1016/j.dib.2017.03.043,S1359835X17301136
10.1016/j.dib.2018.08.050,S0016706118303598
10.1016/j.dib.2016.11.089,S0304394016307923
10.1016/j.dib.2016.07.027,S0167701216301336
10.1016/j.dib.2021.106933,S0020169320314092
10.1016/j.dib.2020.105852,S0011224019302081
10.1016/j.dib.2014.09.006,S1874391914004485
10.1016/j.dib.2019.104176,S0964569119300419
10.1016/j.dib.2019.01.017,S0006291X18328055
10.1016/j.dib.2021.106927,S0005273621000377
10.1016/j.dib.2021.107387,S0720048X2100228X
10.1016/j.dib.2016.07.033,S1874391916302652
10.1016/j.dib.2021.107218,S1342937X21001465
10.1016/j.dib.2020.106208,S0169131720303446
10.1016/j.dib.2018.10.081,S016766361830231X
10.1016/j.dib.2020.105701,S0047637420300221
10.1016/j.dib.2019.103792,S177322471831462X
10.1016/j.dib.2020.105715,S1878875020302989
10.1016/j.dib.2018.10.095,S016578361830239X
10.1016/j.dib.2017.10.023,S1357272517300900
10.1016/j.dib.2020.106220,S0378517320305317
10.1016/j.dib.2019.103976,S0169809518310858
10.1016/j.dib.2020.106546,S0894177720307366
10.1016/j.dib.2019.103745,S0048969719301925
10.1016/j.dib.2018.05.107,S2452074818300363
10.1016/j.dib.2018.10.042,S0191886918305257
10.1016/j.dib.2019.103989,S0269749118333256
10.1016/j.dib.2018.05.113,S221463501730117X
10.1016/j.dib.2019.104980,S0169433219327898
10.1016/j.dib.2018.08.124,S0981942818301864
10.1016/j.dib.2020.106591,S1369703X20303533
10.1016/j.dib.2019.103779,S1754504818301491
10.1016/j.dib.2019.104016,S0167701219301721
10.1016/j.dib.2019.104002,S2468823119300811
10.1016/j.dib.2020.105932,S0308814620310505
10.1016/j.dib.2016.12.002,S0166685116301244
10.1016/j.dib.2018.08.118,S0925838818326653
10.1016/j.dib.2020.105503,S2351989419305499
10.1016/j.dib.2015.12.030,S0021915015302288
10.1016/j.dib.2016.08.049,S089684111630124X
10.1016/j.dib.2015.02.024,S0888754314000962
10.1016/j.dib.2018.01.084,S0927024816303816
10.1016/j.dib.2019.104599,S0301479719306085
10.1016/j.dib.2018.01.090,S0963996917307238
10.1016/j.dib.2020.105271,S0144861719313992
10.1016/j.dib.2017.11.032,S0165027017303655
10.1016/j.dib.2018.11.084,S1359836818318948
10.1016/j.dib.2020.105517,S092099641930502X
10.1016/j.dib.2020.106036,S0165587620303050
10.1016/j.dib.2016.05.056,S0304394016302087
10.1016/j.dib.2015.12.018,S0304394015301804
10.1016/j.dib.2020.106022,S0022169420306545
10.1016/j.dib.2018.11.053,S0963869518302810
10.1016/j.dib.2018.04.116,S0021915018302089
10.1016/j.dib.2019.104228,S1353802019302524
10.1016/j.dib.2015.09.042,S0304416515002263
10.1016/j.dib.2018.09.121,S0141813018305373
10.1016/j.dib.2018.09.135,S0731708518305181
10.1016/j.dib.2018.11.047,S1359646218306183
10.1016/j.dib.2016.03.013,S0140988316000475
10.1016/j.dib.2019.104572,S0045653519317904
10.1016/j.dib.2019.104566,S0925838819322200
10.1016/j.dib.2018.09.109,S1359835X18300964
10.1016/j.dib.2019.104200,S0964569118308901
10.1016/j.dib.2016.03.007,S0048357516300074
10.1016/j.dib.2015.09.052,S1074552115003750
10.1016/j.dib.2018.01.057,S0378874116317147
10.1016/j.dib.2018.09.131,S0012160618301477
10.1016/j.dib.2018.09.125,S0301479718308004
10.1016/j.dib.2015.09.046,S0921509315301854
10.1016/j.dib.2018.04.112,S0048357517303954
10.1016/j.dib.2016.03.003,S1047847716300077
10.1016/j.dib.2014.10.001,S187439191400462X
10.1016/j.dib.2018.09.119,S0048969718322782
10.1016/j.dib.2016.03.017,S0014299915304222
10.1016/j.dib.2018.07.006,S0014305718305007
10.1016/j.dib.2015.12.020,S0950061815306991
10.1016/j.dib.2018.11.080,S0167610518302368
10.1016/j.dib.2016.08.059,S0142961216001289
10.1016/j.dib.2018.01.094,S0925400517321305
10.1016/j.dib.2020.105261,S0360544219315816
10.1016/j.dib.2018.11.094,S2352710218306053
10.1016/j.dib.2017.11.022,S1053811917301167
10.1016/j.dib.2016.08.065,S0003986116302703
10.1016/j.dib.2020.105249,S0264127519303478
10.1016/j.dib.2015.02.008,S1874391915000445
10.1016/j.dib.2021.107022,S0308521X21000196
10.1016/j.dib.2016.05.046,S0021915016301514
10.1016/j.dib.2016.08.071,S0166432816303722
10.1016/j.dib.2018.08.120,S0003269718302677
10.1016/j.dib.2019.104984,S0009261419307845
10.1016/j.dib.2018.10.046,S0013468618321479
10.1016/j.dib.2019.103999,S0014480018302478
10.1016/j.dib.2018.08.134,S1752928X18301197
10.1016/j.dib.2019.104760,S0954349X19301055
10.1016/j.dib.2020.106581,S1470160X20311109
10.1016/j.dib.2021.107591,S0960852421015467
10.1016/j.dib.2020.105936,S0044848619333460
10.1016/j.dib.2016.02.012,S0003269715004091
10.1016/j.dib.2016.02.006,S0032386115304225
10.1016/j.dib.2021.107585,S1572665721007177
10.1016/j.dib.2018.08.108,S0167739X18300141
10.1016/j.dib.2020.106595,S030438942032272X
10.1016/j.dib.2016.12.012,S0303720716304646
10.1016/j.dib.2014.11.004,S1874391914005478
10.1016/j.dib.2016.09.048,S0360544216312592
10.1016/j.dib.2017.10.027,S0378874116325235
10.1016/j.dib.2020.106218,S0045653520314144
10.1016/j.dib.2018.10.091,S0925443918302813
10.1016/j.dib.2020.105711,S1754504820300696
10.1016/j.dib.2020.105705,S2665972719300170
10.1016/j.dib.2018.06.003,S0944501318301034
10.1016/j.dib.2017.10.033,S0304394017308145
10.1016/j.dib.2018.10.085,S0020169318306765
10.1016/j.dib.2019.104953,S0883035518320950
10.1016/j.dib.2019.103972,S0891584919300450
10.1016/j.dib.2020.106224,S0003996920302260
10.1016/j.dib.2020.106230,S000326972030419X
10.1016/j.dib.2020.105739,S0944501320303499
10.1016/j.dib.2016.04.057,S2352409X16301067
10.1016/j.dib.2021.107220,S004896972036513X
10.1016/j.dib.2020.106556,S0169500220306541
10.1016/j.dib.2018.08.054,S0925753518302820
10.1016/j.dib.2017.03.047,S0012160616308314
10.1016/j.dib.2015.10.045,S0021915015301465
10.1016/j.dib.2017.03.053,S1754504817300284
10.1016/j.dib.2016.11.099,S1570963916302047
10.1016/j.dib.2016.07.037,S1874391916301476
10.1016/j.dib.2019.104614,S1385894719318819
10.1016/j.dib.2021.107383,S0169433221016986
10.1016/j.dib.2020.106393,S0048969720355443
10.1016/j.dib.2020.105842,S1551741119309477
10.1016/j.dib.2014.09.002,S0888754314001876
10.1016/j.dib.2019.01.007,S0017931018338870
10.1016/j.dib.2020.105856,S0278434320300893
10.1016/j.dib.2019.104600,S0277379118301380
10.1016/j.dib.2016.07.023,S2214647416300277
10.1016/j.dib.2018.03.032,S0304416517302684
10.1016/j.dib.2018.08.097,S0167732218300436
10.1016/j.dib.2020.105665,S1874391920301317
10.1016/j.dib.2017.05.016,S1874391917301070
10.1016/j.dib.2019.104199,S0378112719306188
10.1016/j.dib.2017.05.002,S0041008X17301217
10.1016/j.dib.2015.06.014,S1874391915300270
